type,code,name,url
fund,601016,Baillie Gifford Managed Class B - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/0601016"
fund,B88NK73,LF Majedie UK Equity Class X - Accumulation (GBP) *2,"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/B88NK73"
fund,B88V3X4,Fidelity Special Situations Class W - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/B88V3X4"
fund,BBX4652,ASI Global Smaller Companies Class S - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BBX4652"
fund,BDZYJT9,Threadneedle UK Equity Income Class L- Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BDZYJT9"
fund,BG0QPF9,Legal & General UK 100 Index Trust Class C - Income (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BG0QPF9"
fund,BG0QPL5,Legal & General US Index Class C - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BG0QPL5"
fund,BQXWPW1,Jupiter Income Class Z - Income (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BQXWPW1"
fund,B8HTXL7,Aberdeen Standard Global Innovation Equit Class R2 - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/B8HTXL7"
fund,B5N9956,Artemis Global Income Class I - Income (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/B88NK73"
fund,BMMV576,Artemis US Smaller Companies Class I - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/B88V3X4"
fund,B0XWNG9,ASI Asia Pacific Equity Class I - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BBX4652"
fund,944971,EdenTree Responsible and Sustainable Managed Inc Class B - Income (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BDZYJT9"
fund,605922,Baillie Gifford Global Discovery Class B - Income (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BG0QPF9"
fund,BP855B7,Chelverton UK Equity Growth Class B - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BG0QPL5"
fund,606185,Baillie Gifford American Class B - Income (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BQXWPW1"
stock,AMZN,Amazon.com Inc. Com Stk USD0.01 *1 *R,http://www.hl.co.uk/shares/shares-search-results/2000019
fund,BJVDZ16,Fidelity Global Technology Class W - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BJVDZ16"
fund,B2PMB12,Fidelity Global Technology Class Y - Accumulation (EUR),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/B2PMB12"
fund,BJS8SJ3,Fidelity Index World Class P - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BJS8SJ3"
fund,BWNGX43,FSSA Japan Focus Class B Class B - Accumulation (GBP) *2,"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BWNGX43"
fund,BQXWPW1,Jupiter Income Class Z - Income (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BQXWPW1"
fund,BG0QPG0,Legal & General UK 100 Index Trust Class C - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BG0QPG0"
fund,B45B8X4,Fidelity FIRST European Value Class Y - Accumulation (EUR),
fund,B8BH0R2,LF Majedie UK Equity Class X - Income (GBP) *2,"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/B8BH0R2"
fund,B3F4751,Man GLG Japan CoreAlpha Professional Class - Income (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/B3F4751"
fund,BH0P2M9,Rathbone Global Opportunities Class S - Accumulation (GBP),"http://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/BH0P2M9"
fund,BQ1JYX8,Legal & General UK Mid Cap Index Class I - Accumulation (GBP),"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/l/legal-and-general-uk-mid-cap-index-class-c-accumulation"
stock,MSFT,Microsoft Corporation Comm Stk US$ 0.0000125 (Crest Depository Interest) *1 *R,http://www.hl.co.uk/shares/shares-search-results/2588173
